Date/Time,Word Count,de,en,es,fr,it,pl,pt,ru
2021.12.03-12.20.53,832,0,832,0,0,0,0,0,0
2021.12.03-12.29.55,822,0,822,0,0,0,0,0,0
2021.12.03-12.34.51,799,0,799,0,0,0,0,0,0
2021.12.03-12.36.50,795,0,795,0,0,0,0,0,0
2021.12.03-12.48.15,795,0,795,0,0,0,0,0,83
2021.12.03-12.51.10,798,0,798,0,0,0,0,0,87
2021.12.03-12.56.46,797,0,797,0,0,0,0,0,108
2021.12.03-13.00.10,796,0,796,0,0,0,0,0,134
2021.12.03-13.01.28,796,0,796,0,0,0,0,0,164
2021.12.03-13.14.41,779,0,779,0,0,0,0,0,222
2021.12.03-13.25.58,777,0,777,0,0,0,0,0,274
2021.12.03-17.33.26,776,0,776,0,0,0,0,0,394
2021.12.03-17.35.36,774,0,774,0,0,0,0,0,402
2021.12.03-17.56.59,774,0,774,0,0,0,0,0,553
2021.12.03-18.16.50,774,0,774,0,0,0,0,0,690
2021.12.03-18.28.42,759,0,759,0,0,0,0,0,755
2021.12.03-18.29.27,755,0,755,0,0,0,0,0,755
2021.12.03-18.56.52,756,0,756,0,0,0,0,0,755
2021.12.03-18.57.24,756,0,756,0,0,0,0,0,756
2021.12.03-19.31.49,755,0,755,0,0,0,0,0,755
2021.12.03-19.49.08,756,0,756,0,0,0,0,0,755
2021.12.03-19.49.41,756,0,756,0,0,0,0,0,756
2021.12.03-23.24.42,763,0,763,0,0,0,0,0,756
2021.12.03-23.25.56,763,0,763,0,0,0,0,0,763
2021.12.04-00.29.12,769,0,769,0,0,0,0,0,763
2021.12.04-00.30.45,770,0,770,0,0,0,0,0,769
2021.12.04-00.34.56,771,0,771,0,0,0,0,0,770
2021.12.04-00.35.29,771,0,771,0,0,0,0,0,771
2021.12.04-01.05.07,773,0,773,0,0,0,0,0,771
2021.12.04-01.12.02,780,0,780,0,0,0,0,0,771
2021.12.04-01.13.21,780,0,780,0,0,0,0,0,780
2021.12.04-01.15.50,781,0,781,0,0,0,0,0,780
2021.12.04-01.16.15,781,0,781,0,0,0,0,0,781
2021.12.04-01.17.52,802,0,802,0,0,0,0,0,781
2021.12.04-01.19.21,802,0,802,0,0,0,0,0,802
2021.12.04-01.26.26,808,0,808,0,0,0,0,0,793
2021.12.04-01.27.22,808,0,808,0,0,0,0,0,800
2021.12.04-01.28.07,808,0,808,0,0,0,0,0,808
2021.12.04-01.31.27,807,0,807,0,0,0,0,0,784
2021.12.04-01.34.01,807,0,807,0,0,0,0,0,807
2021.12.10-16.42.51,828,0,828,0,0,0,0,0,807
2021.12.10-16.44.46,828,0,828,0,0,0,0,0,826
2021.12.10-16.51.18,818,0,818,0,0,0,0,0,816
2021.12.10-16.51.52,818,0,818,0,0,0,0,0,818
2021.12.15-01.48.45,939,0,939,0,0,0,0,0,818
2021.12.15-01.51.03,885,0,885,0,0,0,0,0,818
2021.12.15-01.57.58,885,0,885,0,0,0,0,0,885
2021.12.15-02.01.26,901,0,901,0,0,0,0,0,885
2021.12.15-02.10.18,901,0,901,0,0,0,0,0,901
2021.12.31-00.58.51,1032,0,1032,0,0,0,0,0,901
2021.12.31-01.02.32,1023,0,1023,0,0,0,0,0,901
2021.12.31-01.05.48,1019,0,1019,0,0,0,0,0,905
2021.12.31-01.07.48,1021,0,1021,0,0,0,0,0,908
2021.12.31-01.11.05,1021,0,1021,0,0,0,0,0,1021
2021.12.31-01.21.08,1033,0,1033,0,0,0,0,0,1021
2021.12.31-01.23.14,1033,0,1033,0,0,0,0,0,1033
2021.12.31-01.28.24,1032,0,1032,0,0,0,0,0,1020
2021.12.31-01.29.20,1032,0,1032,0,0,0,0,0,1032
2021.12.31-16.55.14,1044,0,1044,0,0,0,0,0,1032
2021.12.31-16.56.43,1044,0,1044,0,0,0,0,0,1044
2022.01.01-03.08.11,1044,0,1044,0,0,0,0,0,614
2022.01.01-03.46.28,1044,0,1044,0,0,0,0,0,1044
2022.01.02-19.54.18,1068,0,1068,0,0,0,0,0,1044
2022.01.02-19.56.22,1068,0,1068,0,0,0,0,0,1068
2022.01.02-21.18.21,1071,0,1071,0,0,0,0,0,1068
2022.01.02-21.19.26,1071,0,1071,0,0,0,0,0,1071
2022.01.05-18.37.49,1100,0,1100,0,0,0,0,0,1018
2022.01.05-18.40.30,1100,0,1100,0,0,0,0,0,1100
2022.01.06-14.38.02,1106,0,1106,0,0,0,0,0,1100
2022.01.06-14.38.51,1104,0,1104,0,0,0,0,0,1100
2022.01.06-14.39.48,1104,0,1104,0,0,0,0,0,1104
2022.01.06-20.58.00,1102,0,1102,0,0,0,0,0,1102
2022.01.16-13.30.20,1203,0,1203,0,0,0,0,0,1085
2022.01.16-13.39.37,1203,0,1203,0,0,0,0,0,1203
2022.01.16-13.42.09,1203,0,1203,0,0,0,0,0,1150
2022.01.16-13.43.04,1203,0,1203,0,0,0,0,0,1203
